date,symbol,open,high,low,close,volume,rsi
2021-05-25,DIS,175.60000610351562,177.4499969482422,175.39999389648438,176.1699981689453,8089700,40.02986806088936
2021-05-25,MCD,232.1699981689453,232.7700042724609,230.7100067138672,232.13999938964844,2681900,43.21162011875576
2021-05-25,NKE,134.94000244140625,135.1699981689453,133.85000610351562,134.32000732421875,4885800,55.14383514254063
2021-05-26,DIS,176.6199951171875,177.89999389648438,176.1999969482422,176.47000122070312,8086200,40.74473830200862
2021-05-26,MCD,233.7899932861328,233.7899932861328,232.1600036621093,232.3500061035156,1564200,43.80659992063383
2021-05-26,NKE,135.1999969482422,137.9199981689453,135.0,136.88999938964844,6781500,60.47717112640649
2021-05-27,DIS,177.1999969482422,179.58999633789062,176.7899932861328,179.0399932861328,13567800,46.61554548457931
2021-05-27,MCD,233.009994506836,235.0800018310547,232.3999938964844,234.8600006103516,5242900,50.48407011703567
2021-05-27,NKE,137.5500030517578,138.30999755859375,136.4600067138672,136.55999755859375,12882300,59.49890940478618
2021-05-28,DIS,179.50999450683594,180.13999938964844,178.0800018310547,178.64999389648438,7124800,45.87279502856921
2021-05-28,MCD,234.1300048828125,234.4100036621093,232.4499969482422,233.88999938964844,2853600,48.10503226966
2021-05-28,NKE,136.24000549316406,137.35000610351562,136.08999633789062,136.4600067138672,4153500,59.18650663883241
2021-06-01,DIS,180.17999267578125,181.009994506836,178.74000549316406,178.83999633789062,7475600,46.321532362566245
2021-06-01,MCD,235.97999572753903,235.9900054931641,232.7400054931641,233.2400054931641,2574300,46.522925856354696
2021-06-01,NKE,137.85000610351562,138.0500030517578,134.2100067138672,134.50999450683594,5577900,53.30808512950968
2021-06-02,DIS,179.0399932861328,179.10000610351562,176.92999267578125,177.0,7851700,42.63525563980732
2021-06-02,MCD,233.97000122070312,234.3300018310547,232.8099975585937,233.77999877929688,3172000,48.05148443823372
2021-06-02,NKE,134.58999633789062,135.49000549316406,133.52999877929688,134.1699981689453,5226100,52.332134038254566
2021-06-03,DIS,176.27000427246094,176.97000122070312,175.4199981689453,176.24000549316406,5583900,41.17763472624456
2021-06-03,MCD,232.57000732421875,232.759994506836,230.1499938964844,232.4499969482422,3249400,44.66513578474215
2021-06-03,NKE,133.1999969482422,134.69000244140625,132.50999450683594,134.1699981689453,5027400,52.33213403825455
2021-06-04,DIS,175.92999267578125,177.52000427246094,175.61000061035156,177.17999267578125,6343400,43.73960822700758
2021-06-04,MCD,233.44000244140625,233.8000030517578,232.07000732421875,233.3800048828125,1615200,47.453733237356126
